"","year","sex","education","vocabulary","year_group"
"19900019",1990,"Female",8,6,"[1974,1995]"
"19881459",1988,"Female",14,6,"[1974,1995]"
"19820860",1982,"Female",14,10,"[1974,1995]"
"19982110",1998,"Male",12,7,"(1995,2016]"
"19901338",1990,"Female",12,10,"[1974,1995]"
"20142541",2014,"Male",14,8,"(1995,2016]"
"20001260",2000,"Female",2,3,"(1995,2016]"
"19881073",1988,"Female",12,6,"[1974,1995]"
"19823004",1982,"Female",11,4,"[1974,1995]"
"19780573",1978,"Female",15,7,"[1974,1995]"
"20161862",2016,"Female",16,6,"(1995,2016]"
"19900437",1990,"Female",12,6,"[1974,1995]"
"19961616",1996,"Male",16,4,"(1995,2016]"
"20060724",2006,"Female",13,9,"(1995,2016]"
"20120623",2012,"Female",14,7,"(1995,2016]"
"19962092",1996,"Female",16,7,"(1995,2016]"
"19740336",1974,"Female",6,3,"[1974,1995]"
"20140283",2014,"Male",19,9,"(1995,2016]"
"20064353",2006,"Female",16,8,"(1995,2016]"
"19900595",1990,"Male",12,3,"[1974,1995]"
"19761676",1976,"Male",12,7,"[1974,1995]"
"19760035",1976,"Female",14,7,"[1974,1995]"
"20100439",2010,"Male",13,5,"(1995,2016]"
"20100801",2010,"Male",16,8,"(1995,2016]"
"20001330",2000,"Male",12,4,"(1995,2016]"
"19781115",1978,"Male",12,5,"[1974,1995]"
"19890216",1989,"Male",12,5,"[1974,1995]"
"20060580",2006,"Female",14,7,"(1995,2016]"
"20140311",2014,"Female",15,6,"(1995,2016]"
"20041066",2004,"Female",16,5,"(1995,2016]"
"19841181",1984,"Female",12,6,"[1974,1995]"
"20000677",2000,"Female",10,7,"(1995,2016]"
"19870939",1987,"Male",16,6,"[1974,1995]"
"20160048",2016,"Male",16,10,"(1995,2016]"
"19820384",1982,"Female",11,5,"[1974,1995]"
"19910922",1991,"Male",14,7,"[1974,1995]"
"19870027",1987,"Female",6,3,"[1974,1995]"
"19761684",1976,"Female",12,5,"[1974,1995]"
"20100711",2010,"Female",12,7,"(1995,2016]"
"19942874",1994,"Female",14,7,"[1974,1995]"
"20002138",2000,"Male",17,10,"(1995,2016]"
"19910433",1991,"Male",16,8,"[1974,1995]"
"20162215",2016,"Male",12,3,"(1995,2016]"
"20061075",2006,"Female",7,8,"(1995,2016]"
"19890496",1989,"Female",12,5,"[1974,1995]"
"20142196",2014,"Male",13,7,"(1995,2016]"
"20000804",2000,"Male",12,5,"(1995,2016]"
"19741078",1974,"Female",12,3,"[1974,1995]"
"19980398",1998,"Female",12,1,"(1995,2016]"
"19910771",1991,"Female",8,3,"[1974,1995]"
"19761142",1976,"Male",12,6,"[1974,1995]"
"19960004",1996,"Female",6,5,"(1995,2016]"
"20160240",2016,"Male",12,3,"(1995,2016]"
"20041781",2004,"Female",16,6,"(1995,2016]"
"19961185",1996,"Female",18,8,"(1995,2016]"
"19841217",1984,"Male",11,4,"[1974,1995]"
"20080258",2008,"Male",16,5,"(1995,2016]"
"20001112",2000,"Female",15,6,"(1995,2016]"
"20100798",2010,"Male",16,9,"(1995,2016]"
"20000891",2000,"Female",12,5,"(1995,2016]"
"19940684",1994,"Female",18,5,"[1974,1995]"
"19941395",1994,"Female",13,7,"[1974,1995]"
"19900436",1990,"Male",12,6,"[1974,1995]"
"19930883",1993,"Female",15,5,"[1974,1995]"
"20100087",2010,"Female",16,6,"(1995,2016]"
"20141253",2014,"Female",16,6,"(1995,2016]"
"19820028",1982,"Female",15,7,"[1974,1995]"
"20062227",2006,"Female",10,9,"(1995,2016]"
"20160807",2016,"Male",16,9,"(1995,2016]"
"20160773",2016,"Female",13,6,"(1995,2016]"
"19890588",1989,"Male",9,4,"[1974,1995]"
"19901101",1990,"Male",16,9,"[1974,1995]"
"20142247",2014,"Male",16,8,"(1995,2016]"
"19780297",1978,"Female",5,3,"[1974,1995]"
"20141515",2014,"Female",12,7,"(1995,2016]"
"19890390",1989,"Female",8,10,"[1974,1995]"
"19960223",1996,"Female",18,9,"(1995,2016]"
"19960492",1996,"Male",13,3,"(1995,2016]"
"20042116",2004,"Female",8,2,"(1995,2016]"
"19910301",1991,"Male",12,5,"[1974,1995]"
"19820201",1982,"Male",8,5,"[1974,1995]"
"19890103",1989,"Male",4,0,"[1974,1995]"
"19982302",1998,"Male",12,8,"(1995,2016]"
"19760272",1976,"Male",12,7,"[1974,1995]"
"20101697",2010,"Female",16,7,"(1995,2016]"
"19840253",1984,"Female",12,8,"[1974,1995]"
"19960513",1996,"Male",12,6,"(1995,2016]"
"19781220",1978,"Male",12,7,"[1974,1995]"
"19880852",1988,"Male",12,6,"[1974,1995]"
"19981956",1998,"Female",12,7,"(1995,2016]"
"19870135",1987,"Male",8,5,"[1974,1995]"
"19982811",1998,"Male",12,3,"(1995,2016]"
"19940939",1994,"Male",15,10,"[1974,1995]"
"20141632",2014,"Female",13,7,"(1995,2016]"
"20101940",2010,"Male",17,6,"(1995,2016]"
"19891531",1989,"Female",14,3,"[1974,1995]"
"19880311",1988,"Female",16,6,"[1974,1995]"
"20100677",2010,"Female",13,7,"(1995,2016]"
"19930923",1993,"Male",12,9,"[1974,1995]"
"19880399",1988,"Female",14,9,"[1974,1995]"
"19780029",1978,"Female",12,4,"[1974,1995]"
"19760511",1976,"Female",14,6,"[1974,1995]"
"20040544",2004,"Female",12,6,"(1995,2016]"
"20002058",2000,"Male",18,6,"(1995,2016]"
"20140073",2014,"Female",16,7,"(1995,2016]"
"19872133",1987,"Male",16,7,"[1974,1995]"
"20141372",2014,"Female",13,7,"(1995,2016]"
"19823152",1982,"Female",12,5,"[1974,1995]"
"20080926",2008,"Female",16,7,"(1995,2016]"
"19840626",1984,"Male",12,4,"[1974,1995]"
"19740938",1974,"Female",12,10,"[1974,1995]"
"20120076",2012,"Male",12,5,"(1995,2016]"
"20040301",2004,"Female",16,6,"(1995,2016]"
"20141784",2014,"Female",12,8,"(1995,2016]"
"20002568",2000,"Female",16,6,"(1995,2016]"
"20101286",2010,"Female",16,5,"(1995,2016]"
"19891093",1989,"Male",15,7,"[1974,1995]"
"20162848",2016,"Female",14,5,"(1995,2016]"
"19961780",1996,"Female",12,5,"(1995,2016]"
"19761699",1976,"Female",12,4,"[1974,1995]"
"19821483",1982,"Female",7,2,"[1974,1995]"
"19962724",1996,"Female",12,4,"(1995,2016]"
"20062248",2006,"Male",12,9,"(1995,2016]"
"20120320",2012,"Female",12,5,"(1995,2016]"
"19900016",1990,"Female",12,2,"[1974,1995]"
"20081229",2008,"Male",16,6,"(1995,2016]"
"19760301",1976,"Female",8,10,"[1974,1995]"
"19982042",1998,"Female",9,3,"(1995,2016]"
"19890837",1989,"Male",13,7,"[1974,1995]"
"19962711",1996,"Male",12,6,"(1995,2016]"
"20140473",2014,"Female",14,5,"(1995,2016]"
"19823056",1982,"Female",6,4,"[1974,1995]"
"19891416",1989,"Female",8,1,"[1974,1995]"
"20002251",2000,"Female",9,5,"(1995,2016]"
"20063783",2006,"Female",18,10,"(1995,2016]"
"19942625",1994,"Female",14,5,"[1974,1995]"
"20100609",2010,"Male",8,9,"(1995,2016]"
"19942877",1994,"Female",12,6,"[1974,1995]"
"19941637",1994,"Female",11,7,"[1974,1995]"
"19910929",1991,"Female",13,4,"[1974,1995]"
"19891098",1989,"Male",16,9,"[1974,1995]"
"19780809",1978,"Female",12,7,"[1974,1995]"
"19871459",1987,"Female",12,9,"[1974,1995]"
"19870776",1987,"Female",6,1,"[1974,1995]"
"20063979",2006,"Female",12,3,"(1995,2016]"
"20080131",2008,"Female",16,2,"(1995,2016]"
"19781434",1978,"Female",12,5,"[1974,1995]"
"19942289",1994,"Female",12,8,"[1974,1995]"
"19980318",1998,"Male",18,6,"(1995,2016]"
"19941835",1994,"Female",16,7,"[1974,1995]"
"19900687",1990,"Female",13,5,"[1974,1995]"
"19911207",1991,"Female",16,10,"[1974,1995]"
"19740356",1974,"Male",7,7,"[1974,1995]"
"20140706",2014,"Male",7,1,"(1995,2016]"
"19761213",1976,"Female",8,5,"[1974,1995]"
"19941893",1994,"Male",14,5,"[1974,1995]"
"20100243",2010,"Female",16,6,"(1995,2016]"
"19980383",1998,"Male",13,4,"(1995,2016]"
"19911109",1991,"Female",15,7,"[1974,1995]"
"19961361",1996,"Male",19,9,"(1995,2016]"
"20080670",2008,"Female",0,3,"(1995,2016]"
"19820644",1982,"Male",12,4,"[1974,1995]"
"20160429",2016,"Male",10,6,"(1995,2016]"
"19940282",1994,"Female",16,4,"[1974,1995]"
"20141162",2014,"Male",14,5,"(1995,2016]"
"20121776",2012,"Male",11,6,"(1995,2016]"
"20062108",2006,"Female",16,8,"(1995,2016]"
"20002533",2000,"Female",11,5,"(1995,2016]"
"20000728",2000,"Male",11,4,"(1995,2016]"
"19761021",1976,"Male",11,4,"[1974,1995]"
"19911073",1991,"Female",13,9,"[1974,1995]"
"19960031",1996,"Female",20,10,"(1995,2016]"
"20141730",2014,"Male",12,5,"(1995,2016]"
"20041813",2004,"Female",12,6,"(1995,2016]"
"20042553",2004,"Male",12,6,"(1995,2016]"
"19940111",1994,"Male",14,9,"[1974,1995]"
"19780709",1978,"Male",12,6,"[1974,1995]"
"20080367",2008,"Male",12,4,"(1995,2016]"
"19930220",1993,"Female",13,9,"[1974,1995]"
"19911440",1991,"Female",17,10,"[1974,1995]"
"19740831",1974,"Male",16,10,"[1974,1995]"
"19781514",1978,"Female",13,10,"[1974,1995]"
"19911018",1991,"Female",13,7,"[1974,1995]"
"20063550",2006,"Female",14,8,"(1995,2016]"
"19740145",1974,"Female",12,4,"[1974,1995]"
"19980687",1998,"Female",14,5,"(1995,2016]"
"20121967",2012,"Female",9,6,"(1995,2016]"
"20041448",2004,"Female",12,5,"(1995,2016]"
"19870320",1987,"Male",12,5,"[1974,1995]"
"20101543",2010,"Male",10,4,"(1995,2016]"
"19881207",1988,"Female",16,7,"[1974,1995]"
"19962219",1996,"Female",16,7,"(1995,2016]"
"19911493",1991,"Male",6,5,"[1974,1995]"
"19760086",1976,"Male",12,6,"[1974,1995]"
"20042792",2004,"Female",12,5,"(1995,2016]"
"19960827",1996,"Female",13,1,"(1995,2016]"
"20062072",2006,"Female",17,6,"(1995,2016]"
"19760060",1976,"Female",12,3,"[1974,1995]"
"20041945",2004,"Female",12,4,"(1995,2016]"
"19871427",1987,"Male",16,3,"[1974,1995]"
"19870974",1987,"Male",14,6,"[1974,1995]"
"20100607",2010,"Female",16,10,"(1995,2016]"
"19761427",1976,"Male",15,3,"[1974,1995]"
"19741294",1974,"Female",13,9,"[1974,1995]"
"19890437",1989,"Female",9,3,"[1974,1995]"
"19960546",1996,"Male",14,8,"(1995,2016]"
"19981038",1998,"Male",12,6,"(1995,2016]"
"19870583",1987,"Female",13,9,"[1974,1995]"
"19823239",1982,"Female",15,4,"[1974,1995]"
"19900429",1990,"Male",12,5,"[1974,1995]"
"19940202",1994,"Male",12,6,"[1974,1995]"
"20100837",2010,"Male",16,5,"(1995,2016]"
"19780741",1978,"Female",11,4,"[1974,1995]"
"20002413",2000,"Female",12,7,"(1995,2016]"
"19941350",1994,"Female",12,7,"[1974,1995]"
"20121767",2012,"Male",14,5,"(1995,2016]"
"19960947",1996,"Male",16,8,"(1995,2016]"
"19780955",1978,"Female",16,9,"[1974,1995]"
"19930366",1993,"Male",12,7,"[1974,1995]"
"19821409",1982,"Male",8,3,"[1974,1995]"
"19930047",1993,"Male",18,9,"[1974,1995]"
"19840615",1984,"Female",12,8,"[1974,1995]"
"20142483",2014,"Female",18,6,"(1995,2016]"
"19930666",1993,"Female",12,7,"[1974,1995]"
"20064430",2006,"Male",18,8,"(1995,2016]"
"19820346",1982,"Male",11,7,"[1974,1995]"
"20120140",2012,"Male",16,5,"(1995,2016]"
"19840017",1984,"Female",6,3,"[1974,1995]"
"19820955",1982,"Female",16,6,"[1974,1995]"
"19820548",1982,"Female",11,6,"[1974,1995]"
"19961581",1996,"Male",13,5,"(1995,2016]"
"20042624",2004,"Female",12,6,"(1995,2016]"
"20120571",2012,"Female",19,9,"(1995,2016]"
"20041492",2004,"Female",12,8,"(1995,2016]"
"19940436",1994,"Male",12,6,"[1974,1995]"
"20100149",2010,"Male",9,6,"(1995,2016]"
"19740501",1974,"Male",9,5,"[1974,1995]"
"20161501",2016,"Female",18,7,"(1995,2016]"
"19982616",1998,"Male",12,4,"(1995,2016]"
"19911259",1991,"Female",12,4,"[1974,1995]"
"19740858",1974,"Female",11,6,"[1974,1995]"
"20062153",2006,"Female",13,5,"(1995,2016]"
"19840096",1984,"Female",12,5,"[1974,1995]"
"20161657",2016,"Female",12,5,"(1995,2016]"
"20121963",2012,"Male",14,6,"(1995,2016]"
"20041719",2004,"Female",14,5,"(1995,2016]"
"20042786",2004,"Male",14,4,"(1995,2016]"
"19940171",1994,"Female",13,6,"[1974,1995]"
"20101966",2010,"Female",13,6,"(1995,2016]"
"19820560",1982,"Male",11,8,"[1974,1995]"
"19981704",1998,"Female",14,5,"(1995,2016]"
"19871239",1987,"Female",7,1,"[1974,1995]"
"19931011",1993,"Female",16,8,"[1974,1995]"
"19741385",1974,"Male",14,8,"[1974,1995]"
"19820942",1982,"Female",10,6,"[1974,1995]"
"19760279",1976,"Male",12,4,"[1974,1995]"
"20141687",2014,"Male",15,5,"(1995,2016]"
"19890123",1989,"Female",11,5,"[1974,1995]"
"19942311",1994,"Male",12,6,"[1974,1995]"
"19981987",1998,"Male",13,2,"(1995,2016]"
"19840994",1984,"Female",18,10,"[1974,1995]"
"19942225",1994,"Male",16,7,"[1974,1995]"
"20081452",2008,"Male",20,8,"(1995,2016]"
"19890381",1989,"Female",12,5,"[1974,1995]"
"20101771",2010,"Female",12,7,"(1995,2016]"
"19741045",1974,"Female",16,5,"[1974,1995]"
"20160306",2016,"Female",19,5,"(1995,2016]"
"20061285",2006,"Male",12,2,"(1995,2016]"
"19870622",1987,"Female",12,4,"[1974,1995]"
"20161731",2016,"Male",14,3,"(1995,2016]"
"19890365",1989,"Female",17,10,"[1974,1995]"
"20141780",2014,"Female",14,6,"(1995,2016]"
"20162079",2016,"Male",18,10,"(1995,2016]"
"19740962",1974,"Female",8,7,"[1974,1995]"
"19890611",1989,"Female",14,7,"[1974,1995]"
"19900655",1990,"Female",16,4,"[1974,1995]"
"19890777",1989,"Female",12,5,"[1974,1995]"
"20142351",2014,"Female",12,7,"(1995,2016]"
"19900486",1990,"Male",13,7,"[1974,1995]"
"19960671",1996,"Male",16,9,"(1995,2016]"
"20140805",2014,"Female",12,7,"(1995,2016]"
"20140398",2014,"Female",20,7,"(1995,2016]"
"19841154",1984,"Male",10,4,"[1974,1995]"
"20041952",2004,"Male",19,7,"(1995,2016]"
"19890404",1989,"Female",14,6,"[1974,1995]"
"19961024",1996,"Female",12,4,"(1995,2016]"
"20061020",2006,"Female",16,8,"(1995,2016]"
"20100056",2010,"Male",16,5,"(1995,2016]"
"20120195",2012,"Female",12,5,"(1995,2016]"
"19741086",1974,"Male",15,10,"[1974,1995]"
"19840442",1984,"Female",15,9,"[1974,1995]"
"19891230",1989,"Female",12,6,"[1974,1995]"
"19872204",1987,"Male",14,4,"[1974,1995]"
"20042576",2004,"Female",18,10,"(1995,2016]"
"20040899",2004,"Male",14,5,"(1995,2016]"
"20140050",2014,"Male",14,2,"(1995,2016]"
"20101165",2010,"Male",16,5,"(1995,2016]"
"20064391",2006,"Female",6,2,"(1995,2016]"
"19901293",1990,"Male",18,9,"[1974,1995]"
"19962044",1996,"Male",16,9,"(1995,2016]"
"19761104",1976,"Female",12,10,"[1974,1995]"
"20120344",2012,"Female",14,5,"(1995,2016]"
"20142158",2014,"Male",13,5,"(1995,2016]"
"19941691",1994,"Male",17,9,"[1974,1995]"
"20140718",2014,"Female",12,2,"(1995,2016]"
"19781129",1978,"Female",14,6,"[1974,1995]"
"19841026",1984,"Male",14,10,"[1974,1995]"
"19940968",1994,"Female",12,6,"[1974,1995]"
"19940200",1994,"Female",14,8,"[1974,1995]"
"19911512",1991,"Male",12,6,"[1974,1995]"
"19741188",1974,"Female",16,10,"[1974,1995]"
"20000281",2000,"Female",11,4,"(1995,2016]"
"20161794",2016,"Female",18,7,"(1995,2016]"
"19890507",1989,"Female",13,4,"[1974,1995]"
"20141703",2014,"Female",13,8,"(1995,2016]"
"20060950",2006,"Female",6,5,"(1995,2016]"
"19760055",1976,"Female",12,9,"[1974,1995]"
"20160652",2016,"Male",19,6,"(1995,2016]"
"19840367",1984,"Male",12,5,"[1974,1995]"
"19741095",1974,"Male",12,8,"[1974,1995]"
"19870224",1987,"Male",16,4,"[1974,1995]"
"20042104",2004,"Female",16,6,"(1995,2016]"
"19841298",1984,"Male",16,7,"[1974,1995]"
"19840907",1984,"Male",14,2,"[1974,1995]"
"19740631",1974,"Female",12,6,"[1974,1995]"
"19870346",1987,"Male",17,10,"[1974,1995]"
"20040388",2004,"Female",10,1,"(1995,2016]"
"19741050",1974,"Male",8,4,"[1974,1995]"
"19760428",1976,"Female",5,3,"[1974,1995]"
"19901117",1990,"Male",17,6,"[1974,1995]"
"19940956",1994,"Male",15,4,"[1974,1995]"
"19982254",1998,"Female",12,2,"(1995,2016]"
"20042265",2004,"Female",12,7,"(1995,2016]"
"19761115",1976,"Female",12,9,"[1974,1995]"
"19910869",1991,"Female",14,9,"[1974,1995]"
"20160323",2016,"Female",14,6,"(1995,2016]"
"20162065",2016,"Female",13,7,"(1995,2016]"
"19840547",1984,"Male",7,4,"[1974,1995]"
"19940940",1994,"Male",12,3,"[1974,1995]"
"19740342",1974,"Female",8,4,"[1974,1995]"
"19870148",1987,"Male",11,8,"[1974,1995]"
"19930874",1993,"Male",14,6,"[1974,1995]"
"20060738",2006,"Male",12,7,"(1995,2016]"
"20161073",2016,"Male",16,5,"(1995,2016]"
"19881059",1988,"Male",13,5,"[1974,1995]"
"20141570",2014,"Male",14,5,"(1995,2016]"
"20142333",2014,"Female",15,7,"(1995,2016]"
"20121467",2012,"Female",15,9,"(1995,2016]"
"19941070",1994,"Female",15,8,"[1974,1995]"
"20080209",2008,"Male",12,6,"(1995,2016]"
"20081140",2008,"Female",18,5,"(1995,2016]"
"20002331",2000,"Female",8,4,"(1995,2016]"
"19962212",1996,"Male",12,9,"(1995,2016]"
"19880986",1988,"Female",12,7,"[1974,1995]"
"19740040",1974,"Female",16,9,"[1974,1995]"
"19760523",1976,"Female",12,6,"[1974,1995]"
"19761398",1976,"Male",9,6,"[1974,1995]"
"19740394",1974,"Male",10,3,"[1974,1995]"
"19881218",1988,"Female",12,7,"[1974,1995]"
"19780656",1978,"Female",11,7,"[1974,1995]"
"19962750",1996,"Male",11,5,"(1995,2016]"
"19741128",1974,"Female",8,8,"[1974,1995]"
"19740288",1974,"Male",8,9,"[1974,1995]"
"19820426",1982,"Male",16,7,"[1974,1995]"
"20100493",2010,"Female",12,5,"(1995,2016]"
"20063061",2006,"Female",14,6,"(1995,2016]"
"19870582",1987,"Male",12,5,"[1974,1995]"
"19821242",1982,"Male",9,7,"[1974,1995]"
"19840601",1984,"Female",12,4,"[1974,1995]"
"19760398",1976,"Male",14,3,"[1974,1995]"
"19760335",1976,"Female",8,7,"[1974,1995]"
"19820001",1982,"Male",9,5,"[1974,1995]"
"19760742",1976,"Female",12,8,"[1974,1995]"
"19741293",1974,"Female",12,4,"[1974,1995]"
"19942424",1994,"Male",12,8,"[1974,1995]"
"20080409",2008,"Male",11,5,"(1995,2016]"
"20040476",2004,"Female",13,9,"(1995,2016]"
"19760544",1976,"Male",14,9,"[1974,1995]"
"19740538",1974,"Female",14,8,"[1974,1995]"
"19930267",1993,"Female",9,4,"[1974,1995]"
"19820299",1982,"Female",6,6,"[1974,1995]"
"20041903",2004,"Male",14,10,"(1995,2016]"
"20041027",2004,"Female",12,3,"(1995,2016]"
"20120781",2012,"Female",15,7,"(1995,2016]"
"19880696",1988,"Male",20,10,"[1974,1995]"
"20160132",2016,"Female",16,6,"(1995,2016]"
"20160750",2016,"Male",16,8,"(1995,2016]"
"19741182",1974,"Female",16,9,"[1974,1995]"
"20121153",2012,"Male",14,7,"(1995,2016]"
"20100046",2010,"Male",13,5,"(1995,2016]"
"20042228",2004,"Female",12,6,"(1995,2016]"
"19871085",1987,"Female",12,4,"[1974,1995]"
"19941450",1994,"Female",18,5,"[1974,1995]"
"19911145",1991,"Female",11,3,"[1974,1995]"
"19980825",1998,"Female",13,7,"(1995,2016]"
"20140673",2014,"Female",18,7,"(1995,2016]"
"19841049",1984,"Male",12,4,"[1974,1995]"
"19870546",1987,"Male",10,5,"[1974,1995]"
"20042797",2004,"Female",12,4,"(1995,2016]"
"20061611",2006,"Female",13,7,"(1995,2016]"
"20140865",2014,"Male",12,6,"(1995,2016]"
"19931211",1993,"Male",16,1,"[1974,1995]"
"20101691",2010,"Male",12,5,"(1995,2016]"
"19880048",1988,"Male",16,9,"[1974,1995]"
"19840043",1984,"Female",12,5,"[1974,1995]"
"20140404",2014,"Female",20,9,"(1995,2016]"
"19760108",1976,"Male",9,5,"[1974,1995]"
"19910340",1991,"Female",13,9,"[1974,1995]"
"19930910",1993,"Male",18,9,"[1974,1995]"
"19910548",1991,"Male",14,8,"[1974,1995]"
"20001770",2000,"Female",9,5,"(1995,2016]"
"20062098",2006,"Male",17,8,"(1995,2016]"
"20121925",2012,"Female",12,6,"(1995,2016]"
"20081908",2008,"Female",9,5,"(1995,2016]"
"19761626",1976,"Male",13,6,"[1974,1995]"
"19820919",1982,"Female",12,4,"[1974,1995]"
"19982828",1998,"Female",14,6,"(1995,2016]"
"20120237",2012,"Male",17,7,"(1995,2016]"
"19962655",1996,"Male",9,5,"(1995,2016]"
"19870250",1987,"Male",12,6,"[1974,1995]"
"20120662",2012,"Female",12,5,"(1995,2016]"
"19821217",1982,"Female",14,5,"[1974,1995]"
"19940830",1994,"Male",16,9,"[1974,1995]"
"19740295",1974,"Male",14,6,"[1974,1995]"
"19890847",1989,"Female",12,6,"[1974,1995]"
"19930233",1993,"Female",17,8,"[1974,1995]"
"19780844",1978,"Female",8,4,"[1974,1995]"
"19981717",1998,"Male",12,8,"(1995,2016]"
"19872044",1987,"Female",12,6,"[1974,1995]"
"19841023",1984,"Female",12,8,"[1974,1995]"
"19890770",1989,"Female",7,5,"[1974,1995]"
"20121065",2012,"Female",14,6,"(1995,2016]"
"20160938",2016,"Female",17,8,"(1995,2016]"
"20042644",2004,"Male",17,5,"(1995,2016]"
"20161032",2016,"Female",13,7,"(1995,2016]"
"19960232",1996,"Male",14,8,"(1995,2016]"
"19911377",1991,"Female",13,4,"[1974,1995]"
"20142329",2014,"Female",18,6,"(1995,2016]"
"19781528",1978,"Female",10,0,"[1974,1995]"
"19760538",1976,"Male",13,7,"[1974,1995]"
"19740728",1974,"Female",10,5,"[1974,1995]"
"19980915",1998,"Female",9,6,"(1995,2016]"
"20040492",2004,"Male",7,5,"(1995,2016]"
"20162751",2016,"Female",12,3,"(1995,2016]"
"19781208",1978,"Female",12,6,"[1974,1995]"
"19820357",1982,"Female",16,7,"[1974,1995]"
"20160840",2016,"Male",12,6,"(1995,2016]"
"19901085",1990,"Female",8,5,"[1974,1995]"
"19821219",1982,"Female",15,3,"[1974,1995]"
"19940262",1994,"Male",16,7,"[1974,1995]"
"19960429",1996,"Male",10,3,"(1995,2016]"
"19880812",1988,"Male",10,5,"[1974,1995]"
"20161343",2016,"Male",12,7,"(1995,2016]"
"19942619",1994,"Male",9,4,"[1974,1995]"
"19781083",1978,"Male",14,5,"[1974,1995]"
"19930056",1993,"Male",12,5,"[1974,1995]"
"19981427",1998,"Female",14,5,"(1995,2016]"
"19823097",1982,"Female",12,6,"[1974,1995]"
"19781096",1978,"Female",8,4,"[1974,1995]"
"20063799",2006,"Female",14,8,"(1995,2016]"
"19982385",1998,"Female",12,6,"(1995,2016]"
"19870858",1987,"Male",12,9,"[1974,1995]"
"19821320",1982,"Male",8,3,"[1974,1995]"
"19870336",1987,"Female",18,7,"[1974,1995]"
"19942777",1994,"Male",12,5,"[1974,1995]"
"20002625",2000,"Male",14,8,"(1995,2016]"
"19900359",1990,"Female",8,6,"[1974,1995]"
"20141850",2014,"Female",14,5,"(1995,2016]"
"19780615",1978,"Male",12,6,"[1974,1995]"
"19741176",1974,"Male",17,9,"[1974,1995]"
"19941502",1994,"Female",12,3,"[1974,1995]"
"19961967",1996,"Female",15,5,"(1995,2016]"
"20162228",2016,"Male",12,6,"(1995,2016]"
"20000711",2000,"Female",9,2,"(1995,2016]"
"20141373",2014,"Female",16,10,"(1995,2016]"
"19941843",1994,"Male",15,7,"[1974,1995]"
"19761357",1976,"Male",5,3,"[1974,1995]"
"20161053",2016,"Male",15,10,"(1995,2016]"
"19901200",1990,"Male",18,7,"[1974,1995]"
"20121120",2012,"Male",14,7,"(1995,2016]"
"20120272",2012,"Female",14,6,"(1995,2016]"
"19871297",1987,"Female",12,3,"[1974,1995]"
"19781044",1978,"Female",15,4,"[1974,1995]"
"19870342",1987,"Male",15,6,"[1974,1995]"
"19740171",1974,"Male",13,5,"[1974,1995]"
"20081792",2008,"Female",13,6,"(1995,2016]"
"19820804",1982,"Female",12,5,"[1974,1995]"
"20100825",2010,"Female",11,2,"(1995,2016]"
"19820559",1982,"Male",10,5,"[1974,1995]"
"20062538",2006,"Male",6,1,"(1995,2016]"
"19942167",1994,"Female",12,7,"[1974,1995]"
"19870544",1987,"Female",12,5,"[1974,1995]"
"19890013",1989,"Male",12,5,"[1974,1995]"
"20040939",2004,"Male",15,10,"(1995,2016]"
"19962538",1996,"Female",4,3,"(1995,2016]"
"19931442",1993,"Male",8,5,"[1974,1995]"
"19881174",1988,"Female",9,8,"[1974,1995]"
"20142392",2014,"Female",16,8,"(1995,2016]"
"20000109",2000,"Male",16,6,"(1995,2016]"
"20161879",2016,"Female",12,6,"(1995,2016]"
"19890652",1989,"Female",16,7,"[1974,1995]"
"19941881",1994,"Female",12,7,"[1974,1995]"
"20120521",2012,"Female",12,8,"(1995,2016]"
"19820123",1982,"Female",12,4,"[1974,1995]"
"19840718",1984,"Female",7,4,"[1974,1995]"
"19820444",1982,"Male",16,10,"[1974,1995]"
"19980950",1998,"Female",16,5,"(1995,2016]"
"19941349",1994,"Male",16,6,"[1974,1995]"
"19821214",1982,"Female",15,6,"[1974,1995]"
"19910111",1991,"Male",13,5,"[1974,1995]"
"19962126",1996,"Female",18,10,"(1995,2016]"
"19872244",1987,"Male",12,7,"[1974,1995]"
"19940379",1994,"Male",17,4,"[1974,1995]"
"20141100",2014,"Male",12,2,"(1995,2016]"
"20161665",2016,"Male",16,8,"(1995,2016]"
"19942919",1994,"Male",12,5,"[1974,1995]"
"19930197",1993,"Female",12,9,"[1974,1995]"
"20121545",2012,"Female",2,0,"(1995,2016]"
"20120414",2012,"Female",16,10,"(1995,2016]"
"19820449",1982,"Female",19,10,"[1974,1995]"
"20061357",2006,"Male",16,9,"(1995,2016]"
"19901240",1990,"Female",12,6,"[1974,1995]"
"19960945",1996,"Male",18,7,"(1995,2016]"
"19761204",1976,"Female",8,6,"[1974,1995]"
"19780550",1978,"Female",16,9,"[1974,1995]"
"20140425",2014,"Male",20,9,"(1995,2016]"
"20120301",2012,"Female",11,4,"(1995,2016]"
"19820447",1982,"Male",14,5,"[1974,1995]"
"19942745",1994,"Female",12,4,"[1974,1995]"
"20140644",2014,"Female",8,3,"(1995,2016]"
"19880643",1988,"Female",12,5,"[1974,1995]"
"19820375",1982,"Female",16,10,"[1974,1995]"
"20141527",2014,"Female",13,8,"(1995,2016]"
"19931089",1993,"Female",12,8,"[1974,1995]"
"19840407",1984,"Female",12,7,"[1974,1995]"
"19740061",1974,"Male",12,6,"[1974,1995]"
"19981224",1998,"Female",14,6,"(1995,2016]"
